handle,sku,name,description,category,spaces,mrp,d2cPrice,b2bPrice,stockQuantity,weight_kg,length_cm,breadth_cm,height_cm,actualHeight_in,actualWidth_in,actualDepth_in,isLed,gstRate,hsnCode,bisCertification,materialAndFinish,bulbType,style,images,variant_name,variant_sku,variant_mrp,variant_d2cPrice,variant_stock
brass-chain-holder-j416,J416,Brass Chain Pendant Holder,"An ornate brass chain pendant holder (6cm x 5cm) with a decorative canopy and classic link chain suspension. The antique brass finish adds heritage charm and pairs beautifully with vintage-style bulbs. Use as a single accent or in multiples for a dramatic installation.",Hanging Lamp,Grand Foyer;Master Suite,700,450,360,20,0.3,10,10,7,2.0,2.4,2.4,FALSE,18,94054090,IS 10322,"Brass, antique finish",E27 Edison/Filament bulb,"Vintage, colonial, heritage",,,,,,
black-pendant-holder-j417,J417,Black Pendant Holder with Decorative Base,"A compact pendant holder (6cm x 5cm) with a matte black ceiling rose and a sculptural, florette-style base socket cap. The detailed base adds a decorative element even without a shade, suitable for bare-bulb or small-shade configurations in eclectic interiors.",Hanging Lamp,Boutique Hotel;Dining Estate,600,380,304,20,0.3,10,10,7,2.0,2.4,2.4,FALSE,18,94054090,IS 10322,"Metal, matte black",E27 bulb,"Industrial, eclectic, artisan",,,,,,
conical-brass-socket-pendant-j418,J418,Conical Pendant with Brass Socket,"A slender conical pendant shade (25cm x 19cm) in matte black with a prominent antique brass E27 socket ring, creating a two-tone industrial-vintage statement. The brass accent at the collar adds warmth and craftsmanship to an otherwise minimal silhouette.",Hanging Lamp,Dining Estate;Executive Lounge,1800,1100,880,15,1.1,30,30,24,7.5,9.8,9.8,FALSE,18,94054090,IS 10322,"Metal, matte black with brass socket ring",E27 LED,"Industrial vintage, transitional",,,,,,
factory-dome-pendant-j419,J419,Factory Dome Pendant Light,"A wide factory-style dome pendant (20cm x 23cm) in a rich matte black with a vintage brass E27 socket, evoking the aesthetic of early 20th-century industrial workshops. The broad dome distributes light generously across work surfaces or dining areas.",Hanging Lamp,Dining Estate;Grand Foyer,1900,1200,960,15,1.3,28,28,28,9.1,7.9,7.9,FALSE,18,94054090,IS 10322,"Metal, matte black with brass socket",E27 LED,"Industrial, factory, vintage",,,,,,
large-dome-pendant-j420,J420,Large Dome Pendant Light,"A substantial hemispherical dome pendant (24cm x 24cm) in matte black with a warm copper-gold interior. The generous bowl shape provides wide, ambient illumination suited to open-plan dining and kitchen spaces. The interior gold lining bathes the space in a warm, inviting glow.",Hanging Lamp,Dining Estate;Grand Foyer,2200,1350,1080,12,1.5,30,30,30,9.4,9.4,9.4,FALSE,18,94054090,IS 10322,"Metal, matte black with copper-gold interior",E27 LED,"Industrial, modern farmhouse, contemporary",,,,,,
shallow-conical-pendant-j421,J421,Shallow Conical Pendant with Brass Accent,"A wide, shallow-angled conical shade (18cm x 27cm) in black with a prominent antique brass ring at the base, giving it a dual-material character. The low-profile cone casts light in a broad pool below, making it perfect above dining tables or kitchen counters.",Hanging Lamp,Dining Estate;Executive Lounge,1900,1150,920,15,1.2,26,26,32,10.6,7.1,7.1,FALSE,18,94054090,IS 10322,"Metal, black with antique brass accent",E27 LED,"Industrial vintage, transitional",,,,,,
dome-bell-large-pendant-j422,J422,Large Dome Bell Pendant Light,"A proportioned dome-bell pendant (24cm x 21cm) in deep matte black with a smooth, clean exterior. Larger than many of its counterparts, it delivers substantial ambient and task lighting. The wide opening and classic dome silhouette suit restaurants, hotels, and residential open kitchens alike.",Hanging Lamp,Dining Estate;Boutique Hotel,2000,1200,960,12,1.4,30,30,26,8.3,9.4,9.4,FALSE,18,94054090,IS 10322,"Metal, matte black finish",E27 LED,"Industrial, contemporary, hospitality",,,,,,
wide-dome-orange-interior-j423,J423,Wide Dome Pendant with Orange Interior,"A dramatic wide-dome pendant (16.5cm x 16cm) in matte black with a vivid burnt-orange interior lining. The contrasting interior creates a warm, saturated downlight effect that energises the space below. A bold choice for accent lighting in bars, restaurants, or creative studios.",Hanging Lamp,Boutique Hotel;Executive Lounge,1600,950,760,15,0.9,22,22,21,6.3,6.5,6.5,FALSE,18,94054090,IS 10322,"Metal, matte black with orange interior",E27 LED,"Industrial, bold, eclectic",,,,,,
flat-dome-pendant-j424,J424,Flat Dome Pendant Light,"A generous flat-bottomed dome pendant (15cm x 27cm) in satin matte black. The extra-wide, shallow profile maximises light spread across large surfaces—ideal for billiard tables, long dining tables, or workshop benches. Clean minimal styling fits seamlessly into modern and industrial interiors.",Hanging Lamp,Dining Estate;Grand Foyer,2000,1200,960,12,1.4,20,20,32,10.6,5.9,5.9,FALSE,18,94054090,IS 10322,"Metal, satin matte black",E27 LED,"Industrial, minimalist, modern farmhouse",,,,,,
cluster-vintage-socket-j425,J425,3-Light Vintage Socket Cluster,"A trio of antique brass E27 sockets (20cm diameter plate) suspended from a single ornate ceiling medallion at varying heights. No shades—the bare vintage sockets and Edison bulbs become the centrepiece. Evokes Parisian brasserie charm and bohemian loft aesthetics.",Hanging Lamp,Boutique Hotel;Grand Foyer,3500,2200,1760,10,1.5,25,25,10,3.9,7.9,7.9,FALSE,18,94054090,IS 10322,"Antique brass, metal",E27 Edison/Filament bulb (x3),"Vintage, Parisian, bohemian",,,,,,
white-conical-pendant-j428,J428,White Conical Pendant Light,"A crisp, tapered conical pendant (25cm x 19cm) in a clean gloss white finish—a refreshing departure from the darker tones in the range. The white exterior maximises perceived brightness and suits Scandinavian, coastal, or minimalist interiors. Suspended on a white cable from a white ceiling canopy.",Hanging Lamp,Master Suite;Dining Estate,1700,1050,840,15,1.0,30,30,24,7.5,9.8,9.8,FALSE,18,94054090,IS 10322,"Metal, gloss white finish",E27 LED,"Scandinavian, coastal, minimalist",,,,,,
cone-brass-angled-pendant-j429,J429,Angled Cone Pendant with Brass Detail,"A tall, elegantly angled cone pendant (30cm x 18cm) in matte black with a brass accent ring at the socket, giving it a refined industrial character. The elongated form and bold geometry make it a strong standalone feature in high-ceiling corridors or above kitchen islands.",Hanging Lamp,Grand Foyer;Dining Estate,2000,1200,960,12,1.2,35,35,23,7.1,11.8,11.8,FALSE,18,94054090,IS 10322,"Metal, matte black with brass accent",E27 LED,"Industrial, architectural, modern",,,,,,
large-bowl-pendant-j430,J430,Large Bowl Pendant Light,"A generously scaled bowl pendant (20cm x 47.5cm) in matte black—a bold, wide dome designed for high-volume spaces such as hotel lobbies, restaurant dining rooms, or loft apartments. The deep bowl contains and focuses light beneath while the black exterior recedes into the ceiling. A statement piece that commands attention.",Hanging Lamp,Grand Foyer;Boutique Hotel,2800,1700,1360,10,2.0,26,26,52,18.7,7.9,7.9,FALSE,18,94054090,IS 10322,"Metal, matte black finish",E27 LED,"Industrial, grand, statement",,,,,,
extra-large-bowl-pendant-j431,J431,Extra-Large Bowl Pendant Light,"The widest in the bowl pendant family (26.5cm x 47.5cm), this statement dome commands any large open space. With its broad diameter and matte black finish, it provides excellent ambient coverage for hotel lobbies, farmhouse kitchens, or commercial dining areas. The clean silhouette suits both heritage and contemporary interiors.",Hanging Lamp,Grand Foyer;Boutique Hotel,3200,2000,1600,8,2.5,32,32,53,18.7,10.4,10.4,FALSE,18,94054090,IS 10322,"Metal, matte black finish",E27 LED,"Industrial, grand, farmhouse",,,,,,
antique-brass-wide-dome-j432,J432,Antique Brass Wide Dome with Globe,"A unique composite pendant (35cm x 26cm) featuring a wide antique brass dome shade paired with a frosted globe glass diffuser beneath—combining directional shade light with soft 360° globe glow. The antiqued brass surface adds warmth and patina suited to colonial or heritage interiors.",Hanging Lamp,Grand Foyer;Master Suite,2800,1700,1360,10,1.8,40,40,31,10.2,13.8,13.8,FALSE,18,94054090,IS 10322,"Antique brass metal, frosted glass globe",E27 LED,"Heritage, colonial, transitional",,,,,,
dome-bowl-medium-j433,J433,Medium Dome Bowl Pendant,"A well-proportioned medium dome bowl (15cm x 27cm) in matte black. A versatile pendant that works equally well as a single feature or in a row of three above a dining table. The deep bowl profile focuses downward illumination and minimises glare.",Hanging Lamp,Dining Estate;Boutique Hotel,1800,1100,880,15,1.1,20,20,32,10.6,5.9,5.9,FALSE,18,94054090,IS 10322,"Metal, matte black finish",E27 LED,"Industrial, contemporary, versatile",,,,,,
narrow-bell-pendant-j434,J434,Narrow Bell Pendant Light,"A tall, narrow bell pendant (21cm x 17cm) in a deep matte black finish. The elongated bell profile casts a tightly focused beam, making it ideal for accent or task lighting above counters, shelves, or artwork. Compact enough to use in multiples without visual clutter.",Hanging Lamp,Dining Estate;Executive Lounge,1500,900,720,15,0.9,26,26,22,6.7,8.3,8.3,FALSE,18,94054090,IS 10322,"Metal, matte black finish",E27 LED,"Industrial, minimalist, contemporary",,,,,,
wide-barn-brass-pendant-j435,J435,Wide Barn Pendant with Brass Accent,"A broad barn-dome pendant (30cm x 25cm) in matte black with a vintage brass socket ring. The wide diameter ensures generous ambient light output, while the brass accent adds artisanal warmth. An ideal anchor pendant for open-plan dining or kitchen spaces.",Hanging Lamp,Dining Estate;Grand Foyer,2200,1350,1080,12,1.5,35,35,30,9.8,11.8,11.8,FALSE,18,94054090,IS 10322,"Metal, matte black with brass socket ring",E27 LED,"Industrial farmhouse, transitional",,,,,,
oversized-flat-dome-j436,J436,Oversized Flat Dome Pendant,"The largest single pendant in the collection (60cm x 24cm), this oversized flat dome in matte black is designed for expansive spaces—hotel atriums, restaurant dining halls, or double-height living rooms. Its extraordinary diameter provides maximum light coverage and an unmistakably bold visual presence.",Hanging Lamp,Grand Foyer;Boutique Hotel,4000,2500,2000,8,3.0,65,65,29,9.4,23.6,23.6,FALSE,18,94054090,IS 10322,"Metal, matte black finish",E27 LED,"Statement, grand, industrial",,,,,,
tapered-dome-pendant-j437,J437,Tapered Dome Pendant Light,"A gracefully tapered dome (32cm x 25cm) in a deep matte black finish with gently curved sides—broader than a cone, rounder than a barn. This transitional silhouette sits between rustic and contemporary, making it extremely versatile for residential and hospitality settings.",Hanging Lamp,Dining Estate;Boutique Hotel,2200,1350,1080,12,1.5,37,37,30,9.8,12.6,12.6,FALSE,18,94054090,IS 10322,"Metal, matte black finish",E27 LED,"Transitional, industrial, farmhouse",,,,,,
wide-barn-brass-socket-j438,J438,Wide Barn Pendant with Vintage Brass Socket,"A wide, open barn shade (26cm x 17cm) in matte black paired with a prominent antique brass bulb socket ring. The low-profile, wide-brim form directs light broadly downward. The brass-ringed socket adds a heritage detail that elevates the piece beyond a standard industrial pendant.",Hanging Lamp,Dining Estate;Executive Lounge,1900,1150,920,15,1.2,31,31,22,6.7,10.2,10.2,FALSE,18,94054090,IS 10322,"Metal, matte black with antique brass socket",E27 LED,"Industrial vintage, hospitality",,,,,,
flared-cone-pendant-j439,J439,Flared Cone Pendant Light,"A dramatically flared cone pendant (30cm x 15cm) in matte black, with a wide lip that curves outward at the base like a trumpet bell. This distinctive silhouette provides a wide light spread directly below while the slender profile remains visually light. Suits coastal, industrial-scandi, and café interiors.",Hanging Lamp,Dining Estate;Boutique Hotel,2000,1200,960,12,1.2,35,35,20,5.9,11.8,11.8,FALSE,18,94054090,IS 10322,"Metal, matte black finish",E27 LED,"Industrial Scandi, coastal, café",,,,,,
moroccan-globe-jh01,JH01,Moroccan Pierced Globe Pendant – Copper,"An exquisite handcrafted globe pendant (47cm x 30.5cm) in a rich antique copper finish. The surface is intricately pierced with fine geometric patterns, casting a breathtaking lattice of light and shadow across the room when lit. Suspended on a decorative chain from an ornate canopy. A showpiece for Moroccan-inspired, bohemian, or luxury eclectic interiors.",Hanging Lamp,Grand Foyer;Master Suite;Boutique Hotel,5500,3400,2720,8,2.5,52,52,35,11.8,18.5,18.5,FALSE,18,94054090,IS 10322,"Handcrafted copper, antique finish",E27 LED,"Moroccan, bohemian, luxury eclectic",,,,,,
moroccan-teardrop-jh02,JH02,Moroccan Teardrop Pendant – Antique Brass,"An elegant teardrop-shaped Moroccan pendant (33cm x 20cm) in antique brass with intricate pierced geometric motifs. The pointed teardrop silhouette and ornate cut-work create mesmerising star-and-lattice shadow patterns. Chain suspended from a classical canopy. Perfect for boutique hotels, spa lounges, or eclectic dining rooms.",Hanging Lamp,Grand Foyer;Master Suite;Boutique Hotel,4800,3000,2400,8,2.0,38,38,24,7.9,13.0,13.0,FALSE,18,94054090,IS 10322,"Handcrafted antique brass, pierced metal",E27 LED,"Moroccan, heritage, artisan",,,,,,
moroccan-sphere-small-jh03,JH03,Moroccan Pierced Sphere Pendant – Antique Brass,"A compact spherical Moroccan lantern pendant (30cm x 15cm) in antique brass with finely pierced geometric cut-work. Smaller and more intimate than JH01, it suits bedside pendants, powder rooms, or clustered ceiling installations. The pierced pattern creates a starfield effect when lit.",Hanging Lamp,Master Suite;Boutique Hotel,3800,2400,1920,10,1.5,20,20,35,5.9,11.8,11.8,FALSE,18,94054090,IS 10322,"Handcrafted antique brass, pierced",E27 LED,"Moroccan, boutique, artisan",,,,,,
moroccan-dome-jh04,JH04,Moroccan Pierced Dome Pendant,"A dome-shaped Moroccan pendant (30cm x 25cm) in antique brass with dense, fine-punched geometric patterns across the entire surface. Unlike the spherical JH series, the flat dome top gives it a more grounded, lantern-like character. The dense perforation pattern produces a particularly rich shadow tapestry.",Hanging Lamp,Grand Foyer;Boutique Hotel,4500,2800,2240,8,2.0,35,35,30,9.8,11.8,11.8,FALSE,18,94054090,IS 10322,"Handcrafted antique brass, punched metal dome",E27 LED,"Moroccan, luxury, artisan",,,,,,
moroccan-bell-jh05,JH05,Moroccan Pierced Bell Pendant,"A bell-shaped Moroccan pendant (25cm x 21cm) in antique brass, entirely covered in fine circular punch-work creating a delicate dotted light pattern. The bell shape provides a distinct Mughal-influenced silhouette. Suitable for intimate dining, master bedroom pendants, or clustered in boutique hotel rooms.",Hanging Lamp,Master Suite;Boutique Hotel,3800,2400,1920,10,1.5,30,30,26,8.3,9.8,9.8,FALSE,18,94054090,IS 10322,"Handcrafted antique brass, punched metal bell",E27 LED,"Moroccan, Mughal-inspired, boutique",,,,,,
moroccan-dome-small-jh06,JH06,Moroccan Pierced Dome Pendant – Small,"The most compact Moroccan dome pendant (20cm x 16.5cm), perfect for intimate spaces or use in pairs. Antique brass surface with fine circular punch-work across the dome. An accessible entry into the Moroccan pendant range, ideal for bedrooms, reading corners, or guest bathrooms.",Hanging Lamp,Master Suite;Boutique Hotel,2800,1750,1400,12,1.0,25,25,22,6.5,7.9,7.9,FALSE,18,94054090,IS 10322,"Handcrafted antique brass, punched metal",E27 LED,"Moroccan, artisan, intimate",,,,,,
moroccan-dome-black-jh07,JH07,Moroccan Pierced Dome Pendant – Black,"The classic dome Moroccan pendant (20cm x 20cm) finished in a rare matte black, offering a more dramatic and contemporary take on the handcrafted pierced-metal tradition. The black finish creates high contrast star-like pinhole patterns, lending it a celestial quality. Ideal for moody, modern-eclectic spaces.",Hanging Lamp,Executive Lounge;Master Suite,3200,2000,1600,10,1.2,25,25,25,7.9,7.9,7.9,FALSE,18,94054090,IS 10322,"Handcrafted metal, matte black with pierced pattern",E27 LED,"Modern eclectic, moody, boutique",,,,,,
moroccan-dome-copper-jh07a,JH07A,Moroccan Pierced Dome Pendant – Copper,"The same elegant 20cm x 20cm dome silhouette as JH07, finished in a warm antique copper tone. The copper surface deepens with age, developing a rich patina that adds character. The pierced dot pattern glows with warmth when lit, ideal for earthy, bohemian, and artisanal interiors.",Hanging Lamp,Master Suite;Boutique Hotel,3200,2000,1600,10,1.2,25,25,25,7.9,7.9,7.9,FALSE,18,94054090,IS 10322,"Handcrafted antique copper, pierced metal",E27 LED,"Bohemian, artisan, earthy",,,,,,
moroccan-flat-dome-copper-jh08,JH08,Moroccan Flat Dome Pendant – Copper,"A wide, flat-bottomed dome pendant (15cm x 27cm) in polished hammered copper. The smooth hammered surface catches light with a liquid warmth, while the hemispherical bowl shape casts a wide, ambient pool below. A more refined, less ornate take on the Moroccan pendant, bridging artisan craft and contemporary design.",Hanging Lamp,Dining Estate;Master Suite,3500,2200,1760,10,1.5,20,20,32,10.6,5.9,5.9,FALSE,18,94054090,IS 10322,"Hammered copper, polished",E27 LED,"Artisan, contemporary copper, bohemian",,,,,,
moroccan-flat-dome-brass-jh08a,JH08A,Moroccan Flat Dome Pendant – Antique Brass,"Identical in form to JH08 (15cm x 27cm), this flat dome pendant is finished in antique brass with a fine circular punch-work pattern. The brass tone adds a classic, warm quality to the hammered surface. Suits heritage and transitional interiors equally.",Hanging Lamp,Dining Estate;Master Suite,3500,2200,1760,10,1.5,20,20,32,10.6,5.9,5.9,FALSE,18,94054090,IS 10322,"Handcrafted antique brass, punched flat dome",E27 LED,"Heritage, transitional, artisan",,,,,,
moroccan-dome-large-jh09,JH09,Moroccan Wide Dome Pendant – Hammered Brass,"A substantial wide dome pendant (30cm x 27cm) in hammered antique brass, combining the punched-metal craft of the Moroccan range with a broader, more generously scaled silhouette. The hammered texture adds depth and catches light dynamically. The larger size suits grand spaces, hotel lobbies, and high-ceiling interiors.",Hanging Lamp,Grand Foyer;Boutique Hotel,4200,2600,2080,8,2.0,35,35,32,10.6,11.8,11.8,FALSE,18,94054090,IS 10322,"Hammered antique brass, punched wide dome",E27 LED,"Grand, Moroccan, heritage artisan",,,,,,
12-light-gold-chandelier-jc01,JC01,12-Light Gold Chandelier – JC01,"A majestic 12-light chandelier (30 inch x 24 inch) in a gleaming polished gold/brass finish. Two tiers of gracefully curved arms radiate from a central sculpted column. Each arm terminates in a candle-style socket, creating a formal, luminous crown suited to grand dining rooms, hotel lobbies, and ballrooms. Adjustable chain suspension.",Chandelier,Grand Foyer;Dining Estate;Boutique Hotel,12000,7500,6000,5,6.0,80,80,65,24,30,30,FALSE,18,94054090,IS 10322,"Polished gold/brass metal",E14 LED filament (x12),"Formal, grand, classic",,,,,,
12-light-gold-chandelier-jc02,JC02,12-Light Gold Chandelier – JC02,"A wide-spanning 12-light chandelier (36 inch x 24 inch) in polished brass-gold. A broad two-tier arrangement with elegantly curved arms and candle-style sockets, this chandelier commands attention in large dining rooms and hotel atriums. The wider span compared to JC01 provides greater light distribution across the space.",Chandelier,Grand Foyer;Dining Estate,13000,8000,6400,5,6.5,95,95,65,24,36,36,FALSE,18,94054090,IS 10322,"Polished brass/gold metal",E14 LED filament (x12),"Grand, formal, luxurious",,,,,,
12-light-black-chandelier-jc03,JC03,12-Light Black Iron Chandelier – JC03,"A striking 12-light black iron chandelier (36 inch x 24 inch) with two sweeping tiers of curved arms adorned with decorative leaf details. The bold matte black finish contrasts with the organic, flowing arm shapes to create a dramatic country-house aesthetic. Candle-style sockets with optional flame-tip bulbs.",Chandelier,Dining Estate;Grand Foyer;Boutique Hotel,11000,6800,5440,5,6.5,95,95,65,24,36,36,FALSE,18,94054090,IS 10322,"Black iron, matte finish with leaf accents",E14 LED filament (x12),"Country house, rustic grand, traditional",,,,,,
12-light-antique-chandelier-jc04,JC04,12-Light Antique Chandelier – JC04,"A refined 12-light chandelier (30 inch x 23 inch) in an antique dark finish, blending bronze and charcoal tones for an aged, classical look. The two-tier arm arrangement features graceful curves and candle sockets. This piece strikes a balance between formal grandeur and understated elegance, suited to traditional libraries, manor dining rooms, and heritage boutique hotels.",Chandelier,Dining Estate;Executive Lounge,11000,6800,5440,5,5.5,80,80,62,23,30,30,FALSE,18,94054090,IS 10322,"Metal, antique dark/bronze finish",E14 LED filament (x12),"Classical, heritage, understated grand",,,,,,
6-light-black-gold-chandelier-jc05,JC05,6-Light Black & Gold Chandelier – JC05,"An elegant 6-light chandelier (27.5 inch x 22 inch) with a slender black central column and curved arms tipped in gold candle holders. The two-tone palette of black and gold delivers a sophisticated Art Deco-influenced presence. Single-tier arrangement with graceful, restrained curves—ideal for intimate dining rooms, master suites, and boutique hospitality venues.",Chandelier,Dining Estate;Master Suite,6500,4000,3200,8,4.0,72,72,58,22,27.5,27.5,FALSE,18,94054090,IS 10322,"Black metal with gold candle holders",E14 LED filament (x6),"Art Deco, transitional, elegant",,,,,,
9-light-black-chandelier-jc06,JC06,9-Light Black Chandelier – JC06,"A dramatic 9-light chandelier (22 inch x 30 inch) in matte black, featuring a tall central column with two tiers of arms and candle-style sockets. The elongated vertical profile creates a dramatic drop effect, ideal for high-ceiling spaces. Gold-tipped candle cups add a subtle warmth to the otherwise monochrome composition.",Chandelier,Grand Foyer;Dining Estate,9000,5500,4400,6,5.0,58,58,80,30,22,22,FALSE,18,94054090,IS 10322,"Matte black metal with gold-tipped candle cups",E14 LED filament (x9),"Dramatic, contemporary gothic, transitional",,,,,,
6-light-black-modern-chandelier-jc07,JC07,6-Light Modern Black Chandelier – JC07,"A sculptural 6-light chandelier (25 inch x 37 inch) in matte black with sweeping, elongated arms that curve outward and upward in a fluid, organic arc. The unusually tall drop height (37 inch) makes this ideal for double-height spaces or dramatic stairwells. Gold candle holders punctuate the black arms with warmth.",Chandelier,Grand Foyer;Boutique Hotel,8000,5000,4000,6,4.5,65,65,98,37,25,25,FALSE,18,94054090,IS 10322,"Matte black metal with gold candle holders",E14 LED filament (x6),"Contemporary, dramatic, sculptural",,,,,,
